version,question_ID,source,status,reference_role,predicted_role,reference_step,predicted_step,role_correct,step_exact,step_within_5,absolute_step_error
v2,swe_bench_pro__008,swe_bench_pro,ok,ActionAgent,ActionAgent,54,64,True,False,False,10
v2,swe_bench_pro__009,swe_bench_pro,ok,ActionAgent,ActionAgent,52,46,True,False,False,6
v2,swe_bench_pro__010,swe_bench_pro,ok,ActionAgent,ActionAgent,76,76,True,True,True,0
v2,swe_bench_pro__012,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),DiagnostAgent,21,32,True,False,False,11
v2,swe_bench_pro__013,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),JudgeAgent,23,26,False,False,True,3
v2,swe_bench_pro__018,swe_bench_pro,ok,DiagnostAgent,ActionAgent,23,12,False,False,False,11
v2,swe_bench_pro__019,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,57,180,False,False,False,123
v2,swe_bench_pro__024,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,44,73,False,False,False,29
v2,swe_bench_pro__025,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,42,36,False,False,False,6
v2,swe_bench_pro__033,swe_bench_pro,ok,ActionAgent,ActionAgent,99,109,True,False,False,10
v2,swe_bench_pro__034,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,66,38,False,False,False,28
v2,swe_bench_pro__035,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,25,62,False,False,False,37
v2,swe_bench_pro__036,swe_bench_pro,ok,DiagnostAgent,ActionAgent,25,88,False,False,False,63
v2,swe_bench_pro__039,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,43,70,False,False,False,27
v2,swe_bench_pro__044,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,57,293,False,False,False,236
v2,swe_bench_pro__047,swe_bench_pro,ok,ActionAgent,ActionAgent,133,30,True,False,False,103
v2,swe_bench_pro__048,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),DiagnostAgent,33,31,True,False,True,2
v2,swe_bench_pro__049,swe_bench_pro,ok,ActionAgent,DiagnostAgent,44,101,False,False,False,57
v2,swe_bench_pro__054,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,51,192,False,False,False,141
v2,swe_bench_pro__057,swe_bench_pro,ok,DiagnostAgent,ActionAgent,80,123,False,False,False,43
v2,swe_bench_pro__058,swe_bench_pro,ok,ActionAgent,ActionAgent,40,40,True,True,True,0
v2,swe_bench_pro__065,swe_bench_pro,ok,ActionAgent,ActionAgent,43,42,True,False,True,1
v2,swe_bench_pro__068,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,37,114,False,False,False,77
v2,swe_bench_pro__070,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,23,46,False,False,False,23
v2,swe_bench_pro__071,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,27,89,False,False,False,62
v2,swe_bench_pro__074,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,205,220,False,False,False,15
v2,swe_bench_pro__076,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,43,78,False,False,False,35
v2,swe_bench_pro__084,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,77,75,False,False,True,2
v2,swe_bench_pro__094,swe_bench_pro,ok,DiagnostAgent,ActionAgent,35,110,False,False,False,75
v2,swe_bench_pro__095,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,21,157,False,False,False,136
v2,swe_bench_pro__096,swe_bench_pro,ok,ActionAgent,DiagnostAgent,38,25,False,False,False,13
v2,swe_bench_pro__104,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),JudgeAgent,29,29,False,True,True,0
v2,swe_bench_pro__105,swe_bench_pro,ok,Computer_terminal,ActionAgent,6,50,False,False,False,44
v2,swe_bench_pro__112,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),DiagnostAgent,13,13,True,True,True,0
v2,swe_bench_pro__114,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),DiagnostAgent,21,10,True,False,False,11
v2,swe_bench_pro__115,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),JudgeAgent,45,45,False,True,True,0
v2,swe_bench_pro__116,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),JudgeAgent,17,123,False,False,False,106
v2,swe_bench_pro__121,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),ActionAgent,15,20,False,False,True,5
v2,swe_bench_pro__124,swe_bench_pro,ok,ActionAgent,ActionAgent,52,53,True,False,True,1
v2,swe_bench_pro__125,swe_bench_pro,ok,DiagnostAgent (-> ActionAgent),DiagnostAgent,35,35,True,True,True,0
v2,terminal_bench_2__001,terminal_bench_2,ok,ActionAgent,ActionAgent,212,213,True,False,True,1
