question_ID,source,reference_step,reference_role,a_step,b_step,a_role,b_role,a_role_correct,a_step_exact,a_step_within_5,a_valid_role,a_valid_step,a_absolute_step_error,b_role_correct,b_step_exact,b_step_within_5,b_valid_role,b_valid_step,b_absolute_step_error
swe_bench_pro__008,swe_bench_pro,54,ActionAgent,64,64,ActionAgent,ActionAgent,True,False,False,True,True,10,True,False,False,True,True,10
swe_bench_pro__009,swe_bench_pro,52,ActionAgent,46,46,ActionAgent,ActionAgent,True,False,False,True,True,6,True,False,False,True,True,6
swe_bench_pro__010,swe_bench_pro,76,ActionAgent,76,76,ActionAgent,ActionAgent,True,True,True,True,True,0,True,True,True,True,True,0
swe_bench_pro__012,swe_bench_pro,21,DiagnostAgent (-> ActionAgent),32,32,ActionAgent,ActionAgent,False,False,False,True,True,11,False,False,False,True,True,11
swe_bench_pro__013,swe_bench_pro,23,DiagnostAgent (-> ActionAgent),26,26,JudgeAgent,ActionAgent,False,False,True,True,True,3,False,False,True,True,True,3
swe_bench_pro__018,swe_bench_pro,23,DiagnostAgent,54,23,ActionAgent,ActionAgent,False,False,False,True,True,31,False,True,True,True,True,0
swe_bench_pro__019,swe_bench_pro,57,DiagnostAgent (-> ActionAgent),86,180,ActionAgent,ActionAgent,False,False,False,True,True,29,False,False,False,True,True,123
swe_bench_pro__024,swe_bench_pro,44,DiagnostAgent (-> ActionAgent),73,42,ActionAgent,ActionAgent,False,False,False,True,True,29,False,False,True,True,True,2
swe_bench_pro__025,swe_bench_pro,42,DiagnostAgent (-> ActionAgent),36,20,JudgeAgent,DiagnostAgent,False,False,False,True,True,6,True,False,False,True,True,22
swe_bench_pro__033,swe_bench_pro,99,ActionAgent,109,109,ActionAgent,ActionAgent,True,False,False,True,True,10,True,False,False,True,True,10
swe_bench_pro__034,swe_bench_pro,66,DiagnostAgent (-> ActionAgent),34,29,ActionAgent,JudgeAgent,False,False,False,True,True,32,False,False,False,True,True,37
swe_bench_pro__035,swe_bench_pro,25,DiagnostAgent (-> ActionAgent),62,62,ActionAgent,ActionAgent,False,False,False,True,True,37,False,False,False,True,True,37
